id,label,tweet,example
14155,0,i never got my follow from @user  ,"label: 'Not Hateful', tweet: i never got my follow from @user  "
8826,0,happy thursday!!!! #summeime #thursday #chicago #summeimechi   #filter #snapchat ,"label: 'Not Hateful', tweet: happy thursday!!!! #summeime #thursday #chicago #summeimechi   #filter #snapchat "
15163,0,"someday mccain will have to really answer the question, ""when did you completely sell out your integrity?""   ","label: 'Not Hateful', tweet: someday mccain will have to really answer the question, ""when did you completely sell out your integrity?""   "
22168,0,congrats to the thomas on your new #beautiful home in tehaleh! welcome to the lennar family!   #homeowner ,"label: 'Not Hateful', tweet: congrats to the thomas on your new #beautiful home in tehaleh! welcome to the lennar family!   #homeowner "
24636,0,only the young can break away   #actitudlunes #tengohambre ,"label: 'Not Hateful', tweet: only the young can break away   #actitudlunes #tengohambre "
15752,0,i am thankful for democracy. #thankful #positive     ,"label: 'Not Hateful', tweet: i am thankful for democracy. #thankful #positive     "
11202,0,"my little sister graduates today, and i couldn't be anymore proud ðð   ","label: 'Not Hateful', tweet: my little sister graduates today, and i couldn't be anymore proud ðð   "
27060,0,happy father's day!  #fathersday   #dads #dad #lovehim #hea #awesome ,"label: 'Not Hateful', tweet: happy father's day!  #fathersday   #dads #dad #lovehim #hea #awesome "
854,0,"so simple, but so true. becoming all we are capable of being!    #burnsurvivor #dolbf #motivation #motivate ","label: 'Not Hateful', tweet: so simple, but so true. becoming all we are capable of being!    #burnsurvivor #dolbf #motivation #motivate "
3992,0,"@user yup. he's our former pm, and about 20% of the nation think he's the bee's knees. ""it's in the dictionary, so it's ok""  ","label: 'Not Hateful', tweet: @user yup. he's our former pm, and about 20% of the nation think he's the bee's knees. ""it's in the dictionary, so it's ok""  "
21162,1,why did @user kick @user of the flight because he spoke arabic. #boycottdelta,"label: 'Hateful', tweet: why did @user kick @user of the flight because he spoke arabic. #boycottdelta"
19388,1,"@user @user @user so what. jewish, kwanza, jehovas witness. #bigot ","label: 'Hateful', tweet: @user @user @user so what. jewish, kwanza, jehovas witness. #bigot "
31892,1,dr. frances cress welsing - racism defined #whitesupremacy  #drfranciscresswelsing ,"label: 'Hateful', tweet: dr. frances cress welsing - racism defined #whitesupremacy  #drfranciscresswelsing "
21551,1,"@user #allahsoil jews, christians and muslims all believe that good will prevail. cnn #bbc #msnbc #2017in3words  â¦ ","label: 'Hateful', tweet: @user #allahsoil jews, christians and muslims all believe that good will prevail. cnn #bbc #msnbc #2017in3words  â¦ "
18498,1,"content: #abuse, #pedophilia, #stalking, #harassment, #gaslighting, #ableism, , #threats, #suicide, #nsfw, #self harm, #rape, #incest","label: 'Hateful', tweet: content: #abuse, #pedophilia, #stalking, #harassment, #gaslighting, #ableism, , #threats, #suicide, #nsfw, #self harm, #rape, #incest"
20669,1,@user @user @user because trump is a #fascist &amp; a   #bigot #misogynist  #sexualpredator all proven by his words,"label: 'Hateful', tweet: @user @user @user because trump is a #fascist &amp; a   #bigot #misogynist  #sexualpredator all proven by his words"
22579,1,@user where on eah is pastor #mmusimaimane? is he perhaps in prayer &amp; meditation on how to respond with spin to thisâ¦ ,"label: 'Hateful', tweet: @user where on eah is pastor #mmusimaimane? is he perhaps in prayer &amp; meditation on how to respond with spin to thisâ¦ "
12407,1,#newyear! new #prez. new #destruction. new #commercials. new !new order! new tweets. new #poopin. new kids on the block. new #america,"label: 'Hateful', tweet: #newyear! new #prez. new #destruction. new #commercials. new !new order! new tweets. new #poopin. new kids on the block. new #america"
6170,1,a look at the repug gop pay #bigots   at ,"label: 'Hateful', tweet: a look at the repug gop pay #bigots   at "
23280,1,this is sooooo  or may be just funny ,"label: 'Hateful', tweet: this is sooooo  or may be just funny "
