id,label,tweet,example
14041,0,best essential oils for #healing!!    #altwaystoheal #healthy  !! ,"label: 'Not Hateful', tweet: best essential oils for #healing!!    #altwaystoheal #healthy  !! "
8734,0,happy day ð #thisisme #summeime #instagram #likegram #instagirl   #smile #black&amp;white ,"label: 'Not Hateful', tweet: happy day ð #thisisme #summeime #instagram #likegram #instagirl   #smile #black&amp;white "
15069,0, @user ~~ happy day with my puppy on the last day ^^) #puppy #rainyday   ,"label: 'Not Hateful', tweet:  @user ~~ happy day with my puppy on the last day ^^) #puppy #rainyday   "
22072,0,it's #finally #finished! the #kids are so   even a #little #rain would not #hold them #backâ¦ ,"label: 'Not Hateful', tweet: it's #finally #finished! the #kids are so   even a #little #rain would not #hold them #backâ¦ "
24592,0,  hour 2-5pm #gourmethotdogs #couvesmallbiz #friday #tateots #quesodip ,"label: 'Not Hateful', tweet:   hour 2-5pm #gourmethotdogs #couvesmallbiz #friday #tateots #quesodip "
15667,0,i finally found a way how to delete old tweets! you might find it useful as well:    #deletetweets,"label: 'Not Hateful', tweet: i finally found a way how to delete old tweets! you might find it useful as well:    #deletetweets"
11079,0, @user this #makes me so    |  ,"label: 'Not Hateful', tweet:  @user this #makes me so    |  "
27044,0, @user sooooo   to see this! ,"label: 'Not Hateful', tweet:  @user sooooo   to see this! "
800,0,think   thoughts and they will shine from your face like sun beams. quote #smile ,"label: 'Not Hateful', tweet: think   thoughts and they will shine from your face like sun beams. quote #smile "
3987,0,finally @user  has given up &amp; willing to get behind @user so we all can work together to get rid of the trumpster!  ,"label: 'Not Hateful', tweet: finally @user  has given up &amp; willing to get behind @user so we all can work together to get rid of the trumpster!  "
20984,1,#scrutinize #savor &amp; #dispose #unbelievable #chosen #headlines in 'revolution against racism: humanity'  ,"label: 'Hateful', tweet: #scrutinize #savor &amp; #dispose #unbelievable #chosen #headlines in 'revolution against racism: humanity'  "
19293,1,#ifyousawinyouwhatisee you would believe the accusations regarding your father  ,"label: 'Hateful', tweet: #ifyousawinyouwhatisee you would believe the accusations regarding your father  "
31866,1,"see what #russia is doing in #syria,  destroying masjids  ","label: 'Hateful', tweet: see what #russia is doing in #syria,  destroying masjids  "
21443,1,(advanced value chain videos at  ) #valuechain ,"label: 'Hateful', tweet: (advanced value chain videos at  ) #valuechain "
18189,1,  is defunding aboion and sending you to the #inauguration  ,"label: 'Hateful', tweet:   is defunding aboion and sending you to the #inauguration  "
20576,1,you all look like 6-year-olds posting dictionary definitions of  &amp; acting as if that proved some point.,"label: 'Hateful', tweet: you all look like 6-year-olds posting dictionary definitions of  &amp; acting as if that proved some point."
22364,1,"racial discrimination interacts with genetics, impacts health among african americans   #sdoh ","label: 'Hateful', tweet: racial discrimination interacts with genetics, impacts health among african americans   #sdoh "
12255,1,"everything wrong with #america is embodied by @user : , #misogyny and a hostility to #science #blacksagainsttrump #trump","label: 'Hateful', tweet: everything wrong with #america is embodied by @user : , #misogyny and a hostility to #science #blacksagainsttrump #trump"
5967,1,#nazi #swastika #ebay! #trump #donaldtrump #republic#whitepower  ,"label: 'Hateful', tweet: #nazi #swastika #ebay! #trump #donaldtrump #republic#whitepower  "
22959,1,i won't waste my time on some  sob that has to plaster color on his profile blm  bacon lettuce maters matter on 2 slices of bread,"label: 'Hateful', tweet: i won't waste my time on some  sob that has to plaster color on his profile blm  bacon lettuce maters matter on 2 slices of bread"
