id,label,tweet,example
13578,0,rainy day lessons...,"label: 'Not Hateful', tweet: rainy day lessons..."
23947,0,"childfree and happy: frankly, i though it would be hard to one-up tony abbott when it came to a politi...","label: 'Not Hateful', tweet: childfree and happy: frankly, i though it would be hard to one-up tony abbott when it came to a politi..."
24498,0,ffs why?!!! omg can't believe this. so annoyed!!!!!! why would someone do this?,"label: 'Not Hateful', tweet: ffs why?!!! omg can't believe this. so annoyed!!!!!! why would someone do this?"
27158,0,it's funny how the weather can change your mood.,"label: 'Not Hateful', tweet: it's funny how the weather can change your mood."
30742,0,2nd to group of,"label: 'Not Hateful', tweet: 2nd to group of"
28845,0,senseless. heabroken. baffled. angry. no words to describe. . god needed your voice. my prayers to the grimmie family.,"label: 'Not Hateful', tweet: senseless. heabroken. baffled. angry. no words to describe. . god needed your voice. my prayers to the grimmie family."
20716,0,wishing all the dads a happy fathers day!,"label: 'Not Hateful', tweet: wishing all the dads a happy fathers day!"
29997,0,imagine you and me...... .. monthsary at weeksary.!,"label: 'Not Hateful', tweet: imagine you and me...... .. monthsary at weeksary.!"
12237,0,the new helmet is complete and ready for collection tomorrow!,"label: 'Not Hateful', tweet: the new helmet is complete and ready for collection tomorrow!"
1787,0,i love u take with u all the time in ur!!!,"label: 'Not Hateful', tweet: i love u take with u all the time in ur!!!"
1634,1,# it isn't to target and/or it's just plain,"label: 'Hateful', tweet: # it isn't to target and/or it's just plain"
5125,1,your comments are reflections of ignorance and,"label: 'Hateful', tweet: your comments are reflections of ignorance and"
2797,1,"""the education of public servants is a critical pa of the path forward..."" so true.","label: 'Hateful', tweet: ""the education of public servants is a critical pa of the path forward..."" so true."
6592,1,fantastic video on hate of men.,"label: 'Hateful', tweet: fantastic video on hate of men."
18206,1,and japanese whaling #,"label: 'Hateful', tweet: and japanese whaling #"
21431,1,many actually believe there can be a chance for w/ a at the helm.,"label: 'Hateful', tweet: many actually believe there can be a chance for w/ a at the helm."
21368,1,you might be a libtard if...,"label: 'Hateful', tweet: you might be a libtard if..."
25054,1,"imagine that, is finally ashamed enough of his past to try and hide it.","label: 'Hateful', tweet: imagine that, is finally ashamed enough of his past to try and hide it."
6075,1,never be content to sit back and watch as others' rights are trampled upon. your rights could be next. #,"label: 'Hateful', tweet: never be content to sit back and watch as others' rights are trampled upon. your rights could be next. #"
3373,1,"outrageous, vote: un voting against businesses only in and blacklistin","label: 'Hateful', tweet: outrageous, vote: un voting against businesses only in and blacklistin"
