id,label,tweet,example
26469,0,50 as of now and 53 injured. jesus be a fence!,"label: 'Not Hateful', tweet: 50 as of now and 53 injured. jesus be a fence!"
17272,0,ndokwazvinobva uku father's day dad,"label: 'Not Hateful', tweet: ndokwazvinobva uku father's day dad"
28293,0,sattineferrety,"label: 'Not Hateful', tweet: sattineferrety"
27156,0,"in the meanwhile, is revealed. new journey mode has been added. life in and out of the field","label: 'Not Hateful', tweet: in the meanwhile, is revealed. new journey mode has been added. life in and out of the field"
26467,0,"now playing : kevin kern - "" imagination's key"" on","label: 'Not Hateful', tweet: now playing : kevin kern - "" imagination's key"" on"
28854,0,"it's like extra when a dies, when an dies, they like, probably anyways. so it's no big deal","label: 'Not Hateful', tweet: it's like extra when a dies, when an dies, they like, probably anyways. so it's no big deal"
24598,0,early night for m ahead of tomorrow event night all ;-),"label: 'Not Hateful', tweet: early night for m ahead of tomorrow event night all ;-)"
12171,0,log off shut down go run!,"label: 'Not Hateful', tweet: log off shut down go run!"
12271,0,zealand westpac consumer survey fell from previous 109.6 to 106 in 2q,"label: 'Not Hateful', tweet: zealand westpac consumer survey fell from previous 109.6 to 106 in 2q"
1744,0,very for the hope all is well in your,"label: 'Not Hateful', tweet: very for the hope all is well in your"
31133,1,ignorant by cretin to her job at state funde,"label: 'Hateful', tweet: ignorant by cretin to her job at state funde"
12362,1,thought factory: left-right polarisation! ~6,"label: 'Hateful', tweet: thought factory: left-right polarisation! ~6"
17513,1,was subjected to and she fought back hard!,"label: 'Hateful', tweet: was subjected to and she fought back hard!"
19235,1,the main stream news media like was busily covering a small hand misogynist to notice..,"label: 'Hateful', tweet: the main stream news media like was busily covering a small hand misogynist to notice.."
16400,1,america isn't racist. their are a plethora of reasons for someone not to like obama. you're ignorant in many fashio,"label: 'Hateful', tweet: america isn't racist. their are a plethora of reasons for someone not to like obama. you're ignorant in many fashio"
5583,1,"i despise . in that hatred of racism, it causes me, and many other black people in","label: 'Hateful', tweet: i despise . in that hatred of racism, it causes me, and many other black people in"
30272,1,strangely silent on the 'statement' by not surprised.,"label: 'Hateful', tweet: strangely silent on the 'statement' by not surprised."
5006,1,he should turn in his resignation.,"label: 'Hateful', tweet: he should turn in his resignation."
15886,1,"victim of adam saleh refers to black people as ""abeed"" (slaves) in one of his sketches.","label: 'Hateful', tweet: victim of adam saleh refers to black people as ""abeed"" (slaves) in one of his sketches."
15642,1,riyadh is renowned for some of the deadliest traffic in the world.,"label: 'Hateful', tweet: riyadh is renowned for some of the deadliest traffic in the world."
