id,label,tweet,example
13550,0,because i'm !!,"label: 'Not Hateful', tweet: because i'm !!"
23902,0,one of my fave desses!!,"label: 'Not Hateful', tweet: one of my fave desses!!"
24480,0,@ le clarys plage,"label: 'Not Hateful', tweet: @ le clarys plage"
27131,0,"if you want creative workers, give them enough time to play.","label: 'Not Hateful', tweet: if you want creative workers, give them enough time to play."
30712,0,friends forever,"label: 'Not Hateful', tweet: friends forever"
28813,0,"old school manipulation, gas lighting, power, money, corruption. see history page: any.","label: 'Not Hateful', tweet: old school manipulation, gas lighting, power, money, corruption. see history page: any."
20603,0,which fruit brings a smile to your face?,"label: 'Not Hateful', tweet: which fruit brings a smile to your face?"
29981,0,clinches highs post-data,"label: 'Not Hateful', tweet: clinches highs post-data"
12232,0,"all i know is, i'm going to get wasted af tonight","label: 'Not Hateful', tweet: all i know is, i'm going to get wasted af tonight"
1755,0,"when you're just and maybe there isn't a reason, but you just are","label: 'Not Hateful', tweet: when you're just and maybe there isn't a reason, but you just are"
12836,1,just pre-ordered this. it sounds a really great book,"label: 'Hateful', tweet: just pre-ordered this. it sounds a really great book"
18191,1,"now you wanna mock my country b/c you have no pt. are the most s of all,b/c ""it's not if","label: 'Hateful', tweet: now you wanna mock my country b/c you have no pt. are the most s of all,b/c ""it's not if"
18856,1,"pa 2 of trumps tweets: after his "" coulda won if i wanted 2"" now using putin to project his anger cuz we hate him!","label: 'Hateful', tweet: pa 2 of trumps tweets: after his "" coulda won if i wanted 2"" now using putin to project his anger cuz we hate him!"
16450,1,one infamous maneuver has affectionately been baptized the saudi sweep,"label: 'Hateful', tweet: one infamous maneuver has affectionately been baptized the saudi sweep"
20065,1,the immature is just trying to make a fool of,"label: 'Hateful', tweet: the immature is just trying to make a fool of"
17513,1,was subjected to and she fought back hard!,"label: 'Hateful', tweet: was subjected to and she fought back hard!"
57,1,lets fight against,"label: 'Hateful', tweet: lets fight against"
9873,1,not ever,"label: 'Hateful', tweet: not ever"
24575,1,the everyday response to,"label: 'Hateful', tweet: the everyday response to"
23205,1,cult.,"label: 'Hateful', tweet: cult."
